team,week,pdLeft,idealpdLeft
MHE Tokenization,Feb W1,198,198
MHE Tokenization,Feb W2,150,148
MHE Tokenization,Feb W3,95,100
MHE Tokenization,Feb W4,60,65
MHE Tokenization,March W1,40,45
MHE Tokenization,March W2,,15
MHE Tokenization,March W3,,0
MHE Unicorn and FWO,Feb W2,14650,14580
MHE Unicorn and FWO,Feb W3,13880,13770
MHE Unicorn and FWO,Feb W4,13000,12960
MHE Unicorn and FWO,March W1,12280,12150
MHE Unicorn and FWO,March W2,,11340
MHE Unicorn and FWO,March W3,,10530
MHE Unicorn and FWO,March W4,,9720
