team,month,openTickets,closedTickets,injectionRate
ERP-OTC,Jan-16,136,140,144
ATLAS,Jan-16,42,98,90
EDW,Jan-16,43,45,58
Integration,Jan-16,31,97,100
PDH,Jan-16,57,90,81
SOA,Jan-16,9,58,50
NON-ATLAS,Jan-16,17,19,21
ATLAS,Dec-15,50,118,114
EDW,Dec-15,30,57,50
ERP-OTC,Dec-15,132,171,149
Integration,Dec-15,28,77,79
NON-ATLAS,Dec-15,15,33,26
PDH,Dec-15,66,97,85
SOA,Dec-15,17,31,32
ATLAS,Nov-15,54,138,118
EDW,Nov-15,37,42,41
ERP-OTC,Nov-15,154,157,152
Integration,Nov-15,26,108,97
NON-ATLAS,Nov-15,22,39,37
PDH,Nov-15,78,93,72
SOA,Nov-15,16,35,39
ATLAS,Oct-15,74,147,150
EDW,Oct-15,38,69,63
ERP-OTC,Oct-15,159,193,171
Integration,Oct-15,37,98,100
NON-ATLAS,Oct-15,24,35,37
PDH,Oct-15,99,101,109
SOA,Oct-15,12,31,23
ATLAS,Sep-15,71,129,149
EDW,Sep-15,44,54,70
ERP-OTC,Sep-15,181,114,172
Integration,Sep-15,35,106,115
NON-ATLAS,Sep-15,22,30,36
PDH,Sep-15,91,75,91
SOA,Sep-15,20,40,46
ATLAS,Aug-15,51,102,122
EDW,Aug-15,28,43,56
ERP-OTC,Aug-15,123,114,154
Integration,Aug-15,26,129,140
NON-ATLAS,Aug-15,16,15,23
PDH,Aug-15,75,55,79
SOA,Aug-15,14,46,53
